Clade	Clade_Order	Domain_ID	Domain	Value
Dikarya	2	PF13561.10	adh_short_C2 (enoyl reductase)	1.0
Non-Dikarya Fungi	4	PF13561.10	adh_short_C2 (enoyl reductase)	1.0
Dikarya	2	TIGR04532.1	PT (product template)	0.7218045112781954
Non-Dikarya Fungi	4	TIGR04532.1	PT (product template)	0.06722689075630252
Dikarya	2	PF14759.10	Reductase_C (release domain)	0.6842105263157895
Non-Dikarya Fungi	4	PF14759.10	Reductase_C (release domain)	0.3445378151260504
Dikarya	2	PF16113.9	ECH_2 (enoyl reductase)	1.0
Non-Dikarya Fungi	4	PF16113.9	ECH_2 (enoyl reductase)	0.9831932773109243
Dikarya	2	PF00109.30	ketoacyl-synt (ketosynthase)	1.0
Non-Dikarya Fungi	4	PF00109.30	ketoacyl-synt (ketosynthase)	1.0
Dikarya	2	PF13602.10	ADH_zinc_N_2 (enoyl reductase)	1.0
Non-Dikarya Fungi	4	PF13602.10	ADH_zinc_N_2 (enoyl reductase)	0.9915966386554622
Dikarya	2	PF14765.10	PS-DH (dehhdratase)	0.7819548872180451
Non-Dikarya Fungi	4	PF14765.10	PS-DH (dehhdratase)	0.31092436974789917
Dikarya	2	PF00975.24	Thiosterase (release domain)	0.8947368421052632
Non-Dikarya Fungi	4	PF00975.24	Thiosterase (release domain)	0.8487394957983193
Dikarya	2	PF00107.30	ADH_zinc_N (enoyl reductase)	1.0
Non-Dikarya Fungi	4	PF00107.30	ADH_zinc_N (enoyl reductase)	1.0
Dikarya	2	PF00378.24	ECH_1 (enoyl reductase)	1.0
Non-Dikarya Fungi	4	PF00378.24	ECH_1 (enoyl reductase)	0.9831932773109243
Dikarya	2	PF21089.1	PKS_DH_N (dehydratase)	0.7293233082706767
Non-Dikarya Fungi	4	PF21089.1	PKS_DH_N (dehydratase)	0.19327731092436976
Dikarya	2	PF08240.16	ADH_N (enoyl reductase)	1.0
Non-Dikarya Fungi	4	PF08240.16	ADH_N (enoyl reductase)	1.0
Dikarya	2	PF08659.14	KR (ketoreductase)	1.0
Non-Dikarya Fungi	4	PF08659.14	KR (ketoreductase)	1.0
Dikarya	2	PF02771.20	Acyl-CoA_dh_N (enoyl reductase)	0.9398496240601504
Non-Dikarya Fungi	4	PF02771.20	Acyl-CoA_dh_N (enoyl reductase)	0.957983193277311
Dikarya	2	PF08028.15	Acyl-CoA_dh_2 (enoyl reductase)	0.9398496240601504
Non-Dikarya Fungi	4	PF08028.15	Acyl-CoA_dh_2 (enoyl reductase)	0.957983193277311
Dikarya	2	PF00441.28	Acyl-CoA_dh_1 (enoyl reductase)	0.9624060150375939
Non-Dikarya Fungi	4	PF00441.28	Acyl-CoA_dh_1 (enoyl reductase)	0.957983193277311
Dikarya	2	PF16073.9	SAT (starter acyltransferase)	0.9924812030075187
Non-Dikarya Fungi	4	PF16073.9	SAT (starter acyltransferase)	0.8739495798319328
