ST	ST_Type	Clade	Prop_Clade_With	Order
Squalene/phytoene synthase family - OG-3	0. Suspected	7. Spizellomycetales	0.0	1
Squalene/phytoene synthase family - OG-3	Terpene	8. Other Zoosporic and Basal Fungi	0.717948717948718	1
Squalene/phytoene synthase family - OG-3	0. Suspected	8. Other Zoosporic and Basal Fungi	0.15384615384615385	1
Squalene/phytoene synthase family - OG-1	Terpene	1. Pezizomycotina	0.041237113402061855	5
Squalene/phytoene synthase family - OG-1	0. Suspected	1. Pezizomycotina	0.8969072164948454	5
Squalene/phytoene synthase family - OG-1	Terpene	2. Non-Yeast Basidimycota	0.2	5
Squalene/phytoene synthase family - OG-1	0. Suspected	2. Non-Yeast Basidimycota	0.4	5
Squalene/phytoene synthase family - OG-1	Terpene	3. Yeast Dikarya	0.22727272727272727	5
Squalene/phytoene synthase family - OG-1	0. Suspected	3. Yeast Dikarya	0.5454545454545454	5
Squalene/phytoene synthase family - OG-1	Terpene	4. Mucoromycota	1.0	5
Squalene/phytoene synthase family - OG-1	0. Suspected	4. Mucoromycota	0.0	5
Squalene/phytoene synthase family - OG-1	Terpene	5. Zoopagomycota	0.9090909090909091	5
Squalene/phytoene synthase family - OG-1	0. Suspected	5. Zoopagomycota	0.0	5
Squalene/phytoene synthase family - OG-1	Terpene	6. Neocallimastigomycota	0.0	5
Squalene/phytoene synthase family - OG-1	0. Suspected	6. Neocallimastigomycota	0.0	5
Squalene/phytoene synthase family - OG-1	Terpene	7. Spizellomycetales	1.0	5
Squalene/phytoene synthase family - OG-1	0. Suspected	7. Spizellomycetales	0.0	5
Squalene/phytoene synthase family - OG-1	Terpene	8. Other Zoosporic and Basal Fungi	0.8205128205128205	5
Squalene/phytoene synthase family - OG-1	0. Suspected	8. Other Zoosporic and Basal Fungi	0.07692307692307693	5
Squalene/phytoene synthase family - OG-2	Terpene	1. Pezizomycotina	0.6597938144329897	9
Squalene/phytoene synthase family - OG-2	0. Suspected	1. Pezizomycotina	0.010309278350515464	9
Squalene/phytoene synthase family - OG-2	Terpene	2. Non-Yeast Basidimycota	0.6	9
Squalene/phytoene synthase family - OG-2	0. Suspected	2. Non-Yeast Basidimycota	0.0	9
Squalene/phytoene synthase family - OG-2	Terpene	3. Yeast Dikarya	0.13636363636363635	9
Squalene/phytoene synthase family - OG-2	0. Suspected	3. Yeast Dikarya	0.0	9
Squalene/phytoene synthase family - OG-2	Terpene	4. Mucoromycota	0.5384615384615384	9
Squalene/phytoene synthase family - OG-2	0. Suspected	4. Mucoromycota	0.0	9
Squalene/phytoene synthase family - OG-2	Terpene	5. Zoopagomycota	0.0	9
Squalene/phytoene synthase family - OG-2	0. Suspected	5. Zoopagomycota	0.0	9
Squalene/phytoene synthase family - OG-2	Terpene	6. Neocallimastigomycota	0.0	9
Squalene/phytoene synthase family - OG-2	0. Suspected	6. Neocallimastigomycota	0.0	9
Squalene/phytoene synthase family - OG-2	Terpene	7. Spizellomycetales	0.2222222222222222	9
Squalene/phytoene synthase family - OG-2	0. Suspected	7. Spizellomycetales	0.0	9
Squalene/phytoene synthase family - OG-2	Terpene	8. Other Zoosporic and Basal Fungi	0.5641025641025641	9
Squalene/phytoene synthase family - OG-2	0. Suspected	8. Other Zoosporic and Basal Fungi	0.02564102564102564	9
